Date,1st instar,2nd instar,3rd instar,4th instar ,5th instar,Pupae,Female moth,Male Moth,Dead female,Dead Male,# of Larvae Added,# of Egg Masses,# of Eggs ,Rep,Temp
3/18/2016,20,,,,,,,,,,20,,,1,12
3/20/2016,40,,,,,,,,,,20,,,1,12
3/22/2016,51,,,,,,,,,,20,,,1,12
3/24/2016,66,,,,,,,,,,20,,,1,12
3/26/2016,84,,,,,,,,,,20,,,1,12
3/28/2016,80,,,,,,,,,,20,,,1,12
3/30/2016,69,11,,,,,,,,,20,,,1,12
4/1/2016,73,14,,,,,,,,,20,,,1,12
4/3/2016,76,6,10,,,,,,,,20,,,1,12
4/5/2016,66,13,7,,,,,,,,20,,,1,12
4/7/2016,83,13,9,,,,,,,,20,,,1,12
4/9/2016,81,12,11,,,,,,,,20,,,1,12
4/11/2016,78,12,14,,,,,,,,20,,,1,12
4/13/2016,79,13,11,3,,,,,,,20,,,1,12
4/15/2016,73,22,10,5,,,,,,,20,,,1,12
4/17/2016,90,14,12,6,,,,,,,20,,,1,12
4/19/2016,72,20,10,5,,,,,,,20,,,1,12
4/21/2016,88,3,23,5,,,,,,,20,,,1,12
4/23/2016,88,8,15,8,,,,,,,20,,,1,12
4/25/2016,83,11,15,6,3,,,,,,20,,,1,12
4/27/2016,80,4,18,4,3,,,,,,20,,,1,12
4/29/2016,90,5,16,5,2,,,,,,20,,,1,12
5/1/2016,98,4,12,5,3,,,,,,20,,,1,12
5/3/2016,89,9,9,4,4,,,,,,,,,1,12
5/5/2016,66,10,11,2,4,,,,,,,,,1,12
5/7/2016,46,9,13,3,5,,,,,,,,,1,12
5/9/2016,39,11,11,3,3,1,,,,,,,,1,12
5/11/2016,20,8,12,3,1,2,,,,,,,,1,12
5/13/2016,18,9,10,2,3,2,,,,,,,,1,12
5/15/2016,17,10,6,2,4,2,,,,,,,,1,12
5/17/2016,10,7,8,4,4,2,,,,,,,,1,12
5/19/2016,7,6,9,4,2,2,,,,,,,,1,12
5/21/2016,4,6,10,2,2,2,,,,,,,,1,12
5/23/2016,3,5,10,2,1,2,,,,,,,,1,12
5/25/2016,,3,11,5,1,2,,,,,,,,1,12
5/27/2016,,3,10,3,1,3,,,,,,,,1,12
5/29/2016,,3,8,4,,4,,,,,,,,1,12
5/31/2016,,,11,3,1,4,,,,,,,,1,12
6/2/2016,,,7,4,2,3,1,,,,,,,1,12
6/4/2016,,,7,3,3,3,1,,,,,,,1,12
6/6/2016,,,7,3,3,2,2,,,,,,,1,12
6/8/2016,,,5,2,5,2,2,,,,,,,1,12
6/10/2016,,,5,2,5,2,2,,,,,,,1,12
6/12/2016,,,3,4,3,3,2,,,,,,,1,12
6/14/2016,,,1,3,6,4,2,,,,,,,1,12
6/16/2016,,,1,3,4,3,1,,1,1,,,,1,12
6/18/2016,,,1,1,6,3,1,,,,,,,1,12
6/20/2016,,,1,2,6,3,1,,,,,,,1,12
6/22/2016,,,,3,5,4,1,,,,,,,1,12
6/24/2016,,,,2,5,3,1,1,,,,,,1,12
6/26/2016,,,,1,6,2,1,,,,,,,1,12
6/28/2016,,,,,6,3,2,,,,,,,1,12
6/30/2016,,,,,4,5,2,,,,,,,1,12
7/2/2016,,,,,4,6,1,,1,,,,,1,12
7/4/2016,,,,,2,7,1,,,,,,,1,12
7/6/2016,,,,,1,5,3,,,,,,,1,12
7/8/2016,,,,,1,5,2,,1,,,,,1,12
7/10/2016,,,,,,4,2,,,,,,,1,12
7/12/2016,,,,,,4,2,,,,,,,1,12
7/14/2016,,,,,,4,2,,,,,,,1,12
7/16/2016,,,,,,4,2,,,,,,,1,12
7/18/2016,,,,,,4,2,,,,,,,1,12
7/20/2016,,,,,,4,1,,1,,,,,1,12
7/22/2016,,,,,,4,,,1,,,,,1,12
7/24/2016,,,,,,4,1,,,,,,,1,12
7/26/2016,,,,,,3,,,1,,,,,1,12
7/28/2016,,,,,,3,,,,,,,,1,12
7/30/2016,,,,,,3,,,,,,,,1,12
8/1/2016,,,,,,,3,,,,,,,1,12
8/3/2016,,,,,,,3,,,,,,,1,12
8/5/2016,,,,,,,3,,,,,,,1,12
8/7/2016,,,,,,,3,,,,,,,1,12
8/9/2016,,,,,,,1,,2,,,,,1,12
8/11/2016,,,,,,,,,1,,,,,1,12
8/13/2016,,,,,,,,,,,,,,1,12
5/25/2016,,,,,,,,,,,20,,,2,12
5/27/2016,20,,,,,,,,,,20,,,2,12
5/29/2016,26,,,,,,,,,,20,,,2,12
5/31/2016,31,,,,,,,,,,20,,,2,12
6/2/2016,43,,,,,,,,,,20,,,2,12
6/4/2016,41,,,,,,,,,,20,,,2,12
6/6/2016,44,2,,,,,,,,,20,,,2,12
6/8/2016,60,2,,,,,,,,,20,,,2,12
6/10/2016,71,3,,,,,,,,,20,,,2,12
6/12/2016,98,6,,,,,,,,,20,,,2,12
6/14/2016,73,6,,,,,,,,,20,,,2,12
6/16/2016,82,5,1,,,,,,,,20,,,2,12
6/18/2016,79,5,4,,,,,,,,20,,,2,12
6/20/2016,64,8,3,,,,,,,,20,,,2,12
6/22/2016,79,10,3,,,,,,,,20,,,2,12
6/24/2016,63,15,3,,,,,,,,20,,,2,12
6/26/2016,66,11,13,,,,,,,,20,,,2,12
6/28/2016,50,13,14,,,,,,,,20,,,2,12
6/30/2016,35,18,13,,,,,,,,20,,,2,12
7/2/2016,34,27,7,,,,,,,,20,,,2,12
7/4/2016,33,17,10,,,,,,,,,,,2,12
7/6/2016,32,13,15,,,,,,,,,,,2,12
7/8/2016,33,14,15,,,,,,,,,,,2,12
7/10/2016,40,10,17,,,,,,,,,,,2,12
7/12/2016,33,16,12,,,,,,,,,,,2,12
7/14/2016,41,12,19,1,,,,,,,,,,2,12
7/16/2016,47,11,14,3,,,,,,,,,,2,12
7/18/2016,43,14,14,1,1,,,,,,,,,2,12
7/20/2016,47,11,16,1,1,,,,,,,,,2,12
7/22/2016,46,11,15,3,,,,,,,,,,2,12
7/24/2016,29,10,12,1,2,,,,,,,,,2,12
7/26/2016,19,12,9,2,1,,,,,,,,,2,12
7/28/2016,14,7,12,4,1,1,,,,,,,,2,12
7/30/2016,11,12,8,4,,1,,,,,,,,2,12
8/1/2016,2,16,6,5,2,1,,,,,,,,2,12
8/3/2016,,18,6,5,2,1,,,,,,,,2,12
8/5/2016,,14,6,3,4,1,,,,,,,,2,12
8/7/2016,,6,11,4,3,1,,,,,,,,2,12
8/9/2016,,8,7,3,4,1,,,,,,,,2,12
8/11/2016,,2,11,4,3,1,,,,,,,,2,12
8/13/2016,,,10,1,3,,,,,,,,,2,12
8/15/2016,,,9,1,3,3,,,,,,,,2,12
8/17/2016,,,8,1,3,3,,,,,,,,2,12
8/19/2016,,,7,2,3,2,,,,,,,,2,12
8/21/2016,,,7,1,2,3,,,,,,,,2,12
8/23/2016,,,5,3,1,3,,,,,,,,2,12
8/25/2016,,,5,3,1,3,,,,,,,,2,12
8/27/2016,,,4,4,1,2,,1,,,,,,2,12
8/29/2016,,,3,2,3,2,,1,,,,,,2,12
8/31/2016,,,2,1,4,1,,,,1,,,,2,12
9/2/2016,,,2,1,4,1,,,,,,,,2,12
9/4/2016,,,2,1,4,1,,,,,,,,2,12
9/6/2016,,,2,1,4,1,,,,,,,,2,12
9/8/2016,,,,3,2,2,,1,,,,,,2,12
9/10/2016,,,,3,,4,,1,,,,,,2,12
9/12/2016,,,,3,,3,,1,,,,,,2,12
9/14/2016,,,,2,1,3,,1,,,,,,2,12
9/16/2016,,,,2,1,3,,1,,,,,,2,12
9/18/2016,,,,,3,3,,1,,,,,,2,12
9/20/2016,,,,,3,3,,1,,,,,,2,12
9/22/2016,,,,,2,3,,,,1,,,,2,12
9/24/2016,,,,,2,3,,,,,,,,2,12
9/26/2016,,,,,2,3,,,,,,,,2,12
9/28/2016,,,,,2,2,1,,,,,,,2,12
9/30/2016,,,,,1,1,1,1,,,,,,2,12
10/2/2016,,,,,1,1,,1,1,,,,,2,12
10/4/2016,,,,,1,1,,1,,,,,,2,12
10/6/2016,,,,,1,1,,1,,,,,,2,12
10/8/2016,,,,,1,1,,1,,,,,,2,12
10/10/2016,,,,,1,1,,1,,,,,,2,12
10/12/2016,,,,,,1,,1,,,,,,2,12
10/14/2016,,,,,,1,,,,1,,,,2,12
10/16/2016,,,,,,1,,,,,,,,2,12
10/18/2016,,,,,,1,,,,,,,,2,12
10/20/2016,,,,,,1,,,,,,,,2,12
10/22/2016,,,,,,1,,,,,,,,2,12
10/24/2016,,,,,,1,,,,,,,,2,12
10/26/2016,,,,,,1,,,,,,,,2,12
10/28/2016,,,,,,1,,,,,,,,2,12
10/30/2016,,,,,,,,,,,,,,2,12
10/20/2016,,,,,,,,,,,20,,,3,12
10/22/2016,18,,,,,,,,,,20,,,3,12
10/24/2016,40,,,,,,,,,,20,,,3,12
10/26/2016,47,,,,,,,,,,20,,,3,12
10/28/2016,53,,,,,,,,,,20,,,3,12
10/30/2016,71,,,,,,,,,,20,,,3,12
11/1/2016,54,4,,,,,,,,,20,,,3,12
11/3/2016,51,6,,,,,,,,,20,,,3,12
11/5/2016,47,7,,,,,,,,,20,,,3,12
11/7/2016,54,7,,,,,,,,,20,,,3,12
11/9/2016,52,4,3,,,,,,,,20,,,3,12
11/11/2016,41,8,3,,,,,,,,20,,,3,12
11/13/2016,45,9,6,,,,,,,,20,,,3,12
11/15/2016,48,10,7,,,,,,,,20,,,3,12
11/17/2016,48,7,7,,,,,,,,20,,,3,12
11/19/2016,55,8,11,,,,,,,,20,,,3,12
11/21/2016,58,15,12,,,,,,,,20,,,3,12
11/23/2016,43,7,19,,,,,,,,20,,,3,12
11/25/2016,45,9,18,,,,,,,,20,,,3,12
11/27/2016,35,18,13,,,,,,,,20,,,3,12
11/29/2016,35,10,12,2,,,,,,,20,,,3,12
12/1/2016,32,4,16,2,,,,,,,20,,,3,12
12/3/2016,23,6,14,1,2,,,,,,,,,3,12
12/5/2016,24,3,12,2,2,,,,,,,,,3,12
12/7/2016,16,4,11,2,2,,,,,,,,,3,12
12/9/2016,8,3,10,2,2,,,,,,,,,3,12
12/11/2016,7,1,11,3,2,,,,,,,,,3,12
12/13/2016,,3,8,4,3,,,,,,,,,3,12
12/15/2016,,4,6,3,3,,,,,,,,,3,12
12/17/2016,,4,4,4,2,,,,,,,,,3,12
12/19/2016,,4,5,5,1,,,,,,,,,3,12
12/21/2016,,,6,3,4,,,,,,,,,3,12
12/23/2016,,,4,3,5,,,,,,,,,3,12
