Date,1st instar,2nd instar,3rd instar,4th instar ,5th instar,Pupae,Female moth,Male Moth,Dead female,Dead Male,# of Larvae Added,# of Egg Masses,# of Eggs 
2016-03-18 12:00 AM,20,,,,,,,,,,20,,
2016-03-20 12:00 AM,40,,,,,,,,,,20,,
2016-03-22 12:00 AM,37,,,,,,,,,,20,,
2016-03-24 12:00 AM,46,,,,,,,,,,20,,
2016-03-26 12:00 AM,68,4,,,,,,,,,20,,
2016-03-28 12:00 AM,86,12,,,,,,,,,20,,
2016-03-30 12:00 AM,91,15,2,,,,,,,,20,,
2016-04-01 12:00 AM,79,31,8,,,,,,,,20,,
2016-04-03 12:00 AM,73,19,22,,,,,,,,20,,
2016-04-05 12:00 AM,81,14,28,,,,,,,,20,,
2016-04-07 12:00 AM,71,17,28,,,,,,,,20,,
2016-04-09 12:00 AM,83,18,22,3,,,,,,,20,,
2016-04-11 12:00 AM,84,19,23,4,,,,,,,20,,
2016-04-13 12:00 AM,72,18,13,12,,,,,,,20,,
2016-04-15 12:00 AM,80,22,16,10,5,,,,,,20,,
2016-04-17 12:00 AM,98,29,28,7,4,,,,,,20,,
2016-04-19 12:00 AM,73,24,24,2,11,,,,,,20,,
2016-04-21 12:00 AM,78,24,28,4,8,,,,,,20,,
2016-04-23 12:00 AM,71,18,24,7,6,4,,,,,20,,
2016-04-25 12:00 AM,75,25,28,7,7,6,,,,,20,,
2016-04-27 12:00 AM,73,19,23,10,5,8,,,,,20,,
2016-04-29 12:00 AM,77,17,24,6,8,10,,,,,20,,
2016-05-01 12:00 AM,74,24,25,5,9,10,,1,,,,,
2016-05-03 12:00 AM,67,10,25,10,8,6,2,3,,,,,
2016-05-05 12:00 AM,56,11,25,9,6,8,2,3,,,,,
2016-05-07 12:00 AM,47,14,21,9,7,8,2,2,,1,,,
2016-05-09 12:00 AM,37,24,21,8,6,10,2,2,,,,,
2016-05-11 12:00 AM,31,10,28,6,10,9,3,2,,,,,
2016-05-13 12:00 AM,27,6,29,8,7,11,1,2,2,,,,
2016-05-15 12:00 AM,26,4,30,5,8,13,1,3,,,,,
2016-05-17 12:00 AM,20,4,22,6,6,14,,2,1,1,,,
2016-05-19 12:00 AM,10,7,22,6,6,14,1,1,,,,,
2016-05-21 12:00 AM,1,17,17,4,5,13,3,2,,,,1,42
2016-05-23 12:00 AM,2,5,21,5,4,13,4,1,1,,,3,"85, 44, 37"
2016-05-25 12:00 AM,,2,21,2,5,14,4,,,1,,1,43
2016-05-27 12:00 AM,,1,13,7,4,11,5,1,1,,,5,"28, 43, 56, 47, 138"
2016-05-29 12:00 AM,,1,11,8,2,13,4,,,,,,
2016-05-31 12:00 AM,,,11,3,6,10,3,3,2,,,1,63
2016-06-02 12:00 AM,,,10,3,4,12,3,2,,1,,,
2016-06-04 12:00 AM,,,8,2,5,10,3,4,1,,,3,"62, 55, 51"
2016-06-06 12:00 AM,28,,3,4,2,12,3,2,1,2,,4,"205, 41, 23, 54"
2016-06-08 12:00 AM,178,1,,3,5,9,3,3,1,,,1,43
2016-06-10 12:00 AM,90,20,,1,5,,2,1,2,2,,1,55
2016-06-12 12:00 AM,21,61,9,,3,7,1,4,2,,,1,55
2016-06-14 12:00 AM,48,20,41,,2,7,1,3,,1,,,
2016-06-16 12:00 AM,154,16,40,,,6,1,2,,2,,,
2016-06-18 12:00 AM,98,13,40,,,4,1,2,,,,,
2016-06-20 12:00 AM,42,47,36,6,,2,2,1,,2,,1,37
2016-06-22 12:00 AM,20,43,30,13,2,,3,1,1,,,,
2016-06-24 12:00 AM,12,37,28,7,10,,3,1,,,,,
2016-06-26 12:00 AM,,17,34,12,8,4,1,,2,1,,,
2016-06-28 12:00 AM,,4,34,10,12,6,,,1,,,,
2016-06-30 12:00 AM,,1,36,10,6,15,,,,,,,
2016-07-02 12:00 AM,,,30,11,9,16,,,,,,,
2016-07-04 12:00 AM,,,26,13,5,16,,,,,,,
2016-07-06 12:00 AM,,,17,14,6,17,,,,,,,
2016-07-08 12:00 AM,,,15,17,5,18,,,,,,,
2016-07-10 12:00 AM,,,10,16,9,18,,1,,,,,
2016-07-12 12:00 AM,,,1,17,13,17,,2,,,,,
2016-07-14 12:00 AM,,,,17,10,19,,3,,,,,
2016-07-16 12:00 AM,,,,14,12,15,,4,,1,,,
2016-07-18 12:00 AM,,,,12,10,18,1,4,,,,,
2016-07-20 12:00 AM,,,,13,6,12,1,5,,,,,
2016-07-22 12:00 AM,,,,5,13,12,2,5,,,,,
2016-07-24 12:00 AM,,,,4,11,12,1,2,1,3,,,
2016-07-26 12:00 AM,,,,2,7,16,1,2,,,,2,"61, 36"
2016-07-28 12:00 AM,,,,,6,14,1,2,,,,,
2016-07-30 12:00 AM,,,,,3,16,1,,,2,,,
2016-08-01 12:00 AM,,,,,2,15,1,1,,,,,
2016-08-03 12:00 AM,,,,,2,12,1,1,1,,,,
2016-08-05 12:00 AM,,,,,1,9,2,1,1,,,,
2016-08-07 12:00 AM,,,,,1,7,2,1,1,,,,
2016-08-09 12:00 AM,,,,,,6,3,1,,,,,
2016-08-11 12:00 AM,,,,,,3,4,3,,,,,
2016-08-13 12:00 AM,,,,,,2,4,1,1,2,,,
2016-08-15 12:00 AM,,,,,,2,4,1,,,,,
2016-08-17 12:00 AM,,,,,,1,4,1,1,,,,
2016-08-19 12:00 AM,,,,,,1,4,,,1,,,
2016-08-21 12:00 AM,,,,,,,2,,3,,,,
2016-08-23 12:00 AM,,,,,,,1,,1,,,,
2016-08-25 12:00 AM,,,,,,,,,1,,,,
