Date,1st instar,2nd instar,3rd instar,4th instar,5th instar,Pupae,Female moth,Male Moth,Dead female,Dead Male,# of Larvae Added,# of Egg Masses,# of Eggs
2016-10-20 12:00 AM,,,,,,,,,,,20,,
2016-10-22 12:00 AM,15,,,,,,,,,,20,,
2016-10-24 12:00 AM,40,,,,,,,,,,20,,
2016-10-26 12:00 AM,43,7,,,,,,,,,20,,
2016-10-28 12:00 AM,49,22,6,,,,,,,,20,,
2016-10-30 12:00 AM,37,23,28,,,,,,,,20,,
2016-11-01 12:00 AM,38,18,37,1,,,,,,,20,,
2016-11-03 12:00 AM,47,21,37,3,,,,,,,20,,
2016-11-05 12:00 AM,39,14,32,9,1,,,,,,20,,
2016-11-07 12:00 AM,37,13,32,9,4,,,,,,20,,
2016-11-09 12:00 AM,32,17,28,7,9,,,,,,20,,
2016-11-11 12:00 AM,28,5,23,13,11,1,,,,,20,,
2016-11-13 12:00 AM,28,7,17,10,16,6,,,,,20,,
2016-11-15 12:00 AM,28,6,15,11,15,7,,,,,20,,
2016-11-17 12:00 AM,15,14,14,10,13,11,,,,,20,,
2016-11-19 12:00 AM,18,8,15,10,6,17,,,,,20,,
2016-11-21 12:00 AM,20,3,21,5,7,16,1,,,,20,,
2016-11-23 12:00 AM,19,4,16,5,8,16,1,1,,,20,,
2016-11-25 12:00 AM,19,5,14,8,5,16,4,1,,,20,,
2016-11-27 12:00 AM,10,7,8,8,6,13,7,2,,,20,,
2016-11-29 12:00 AM,11,5,7,8,7,9,9,3,,,20,1,63
2016-12-01 12:00 AM,20,8,7,6,6,11,7,1,3,2,20,3,"257, 98, 45"
2016-12-03 12:00 AM,25,6,10,4,6,13,7,1,,,,,
2016-12-05 12:00 AM,9,14,14,3,4,10,3,,8,1,,,
2016-12-07 12:00 AM,1,18,14,2,1,12,2,,1,2,,,
2016-12-09 12:00 AM,,7,15,2,3,11,3,,,,,,
2016-12-11 12:00 AM,40,1,14,5,2,10,2,1,2,,,,
2016-12-13 12:00 AM,25,1,13,5,2,10,2,,,,,,
2016-12-15 12:00 AM,22,2,7,6,6,10,,,2,,,,
2016-12-17 12:00 AM,3,7,3,7,6,7,,,,,,,
2016-12-19 12:00 AM,,6,4,7,3,5,,,,,,,
2016-12-21 12:00 AM,,1,4,4,5,7,,,,,,,
2016-12-23 12:00 AM,,,4,3,4,6,,,,,,,
2016-12-25 12:00 AM,,,4,2,4,6,1,,,,,,
2016-12-27 12:00 AM,,,1,3,2,8,2,1,,,,,
2016-12-29 12:00 AM,,,,3,2,8,2,2,,,,,
2016-12-31 12:00 AM,,,,2,3,8,1,2,1,,,2,"69, 125"
2017-01-02 12:00 AM,,,,1,3,7,,2,1,1,,,
2017-01-04 12:00 AM,,,,1,3,4,3,2,,,,,
2017-01-06 12:00 AM,,,,,1,4,3,2,1,1,,3,"323,87,131"
2017-01-08 12:00 AM,,,,,,4,3,2,,1,,6,"241, 40,33,55,63,48"
2017-01-10 12:00 AM,25,,,,,4,1,2,2,,,,
2017-01-12 12:00 AM,20,2,,,,4,,1,1,1,,,
2017-01-14 12:00 AM,15,6,,,,4,,1,,,,,
2017-01-16 12:00 AM,6,15,1,,,3,,2,,,,,
2017-01-18 12:00 AM,3,8,9,,,2,,2,,1,,,
2017-01-20 12:00 AM,,2,14,,,2,,1,,1,,,
2017-01-22 12:00 AM,,2,14,,,2,,1,,,,,
2017-01-24 12:00 AM,,,13,1,,2,,1,,,,,
2017-01-26 12:00 AM,,,8,5,2,2,1,,,,,,
2017-01-28 12:00 AM,,,,4,7,2,1,,,,,,
2017-01-30 12:00 AM,,,,4,7,1,,,1,,,,
2017-02-01 12:00 AM,,,,3,7,2,,,,,,,
2017-02-03 12:00 AM,,,,1,6,5,,,,,,,
2017-02-05 12:00 AM,,,,1,2,9,,,,,,,
2017-02-07 12:00 AM,,,,1,1,9,1,,,,,,
2017-02-09 12:00 AM,,,,,1,10,1,,,,,,
2017-02-11 12:00 AM,,,,,1,8,2,,,,,,
2017-02-13 12:00 AM,,,,,1,5,3,1,,,,,
2017-02-15 12:00 AM,,,,,,3,4,3,,,,2,"47,98"
2017-02-17 12:00 AM,,,,,,2,5,3,,,,4,"37,64,31,127"
2017-02-19 12:00 AM,,,,,,1,5,3,1,,,3,"20,25,24"
2017-02-21 12:00 AM,,,,,,1,4,1,1,2,,2,"95,137"
2017-02-23 12:00 AM,,,,,,1,1,1,3,,,1,48
2017-02-25 12:00 AM,63,,,,,,2,1,,,,,
2017-02-27 12:00 AM,148,,,,,,2,1,,,,,
2017-03-01 12:00 AM,147,,,,,,2,,,,,,
2017-03-03 12:00 AM,100,31,,,,,,,2,,,,
2017-03-05 12:00 AM,92,47,2,,,,,,,,,,
2017-03-07 12:00 AM,48,19,30,,,,,,,,,,
2017-03-09 12:00 AM,21,18,31,,,,,,,,,,
2017-03-11 12:00 AM,7,15,28,3,,,,,,,,,
2017-03-13 12:00 AM,,9,26,5,,,,,,,,,
2017-03-15 12:00 AM,,5,20,10,3,,,,,,,,
2017-03-17 12:00 AM,,3,11,14,6,,,,,,,,
2017-03-19 12:00 AM,,2,10,8,13,,,,,,,,
2017-03-21 12:00 AM,,,9,4,15,2,,,,,,,
2017-03-23 12:00 AM,,,8,6,9,7,,,,,,,
2017-03-25 12:00 AM,,,7,3,7,12,,,,,,,
2017-03-27 12:00 AM,,,2,5,4,16,,,,,,,
2017-03-29 12:00 AM,,,1,5,2,19,,,,,,,
2017-03-31 12:00 AM,,,1,4,2,18,,1,,,,,
2017-04-02 12:00 AM,,,,3,2,16,2,2,,,,,
2017-04-04 12:00 AM,,,,3,,12,4,4,1,1,,,
