Date,1st instar,2nd instar,3rd instar,4th instar ,5th instar,Pupae,Female moth,Male Moth,Dead female,Dead Male,# of Larvae Added,# of Egg Masses ,# of Eggs 
2016-03-18 12:00 AM,20,,,,,,,,,,20,,
2016-03-20 12:00 AM,40,,,,,,,,,,20,,
2016-03-22 12:00 AM,59,,,,,,,,,,20,,
2016-03-24 12:00 AM,50,14,,,,,,,,,20,,
2016-03-26 12:00 AM,69,7,13,,,,,,,,20,,
2016-03-28 12:00 AM,57,21,7,,,,,,,,20,,
2016-03-30 12:00 AM,71,26,15,4,,,,,,,20,,
2016-04-01 12:00 AM,71,31,18,4,,,,,,,20,,
2016-04-03 12:00 AM,64,27,24,3,1,,,,,,20,,
2016-04-05 12:00 AM,71,18,26,9,4,,,,,,20,,
2016-04-07 12:00 AM,64,21,26,11,5,1,,,,,20,,
2016-04-09 12:00 AM,67,30,17,10,7,3,,,,,20,,
2016-04-11 12:00 AM,67,34,16,16,6,8,,,,,20,,
2016-04-13 12:00 AM,75,30,19,7,9,8,,,,,20,,
2016-04-15 12:00 AM,73,22,26,7,13,10,1,,,,20,,
2016-04-17 12:00 AM,85,12,31,13,5,15,1,,,,20,,
2016-04-19 12:00 AM,94,12,25,11,7,16,2,1,,,20,,
2016-04-21 12:00 AM,76,9,20,8,9,15,4,2,,,20,,
2016-04-23 12:00 AM,85,16,19,8,10,16,4,2,,,20,1,87
2016-04-25 12:00 AM,85,26,13,8,16,14,5,3,,,20,3,"74, 108, 82"
2016-04-27 12:00 AM,87,7,23,3,15,11,9,4,,,20,1,56
2016-04-29 12:00 AM,80,15,20,8,7,12,9,4,1,1,20,3,"95, 47, 63"
2016-05-01 12:00 AM,85,26,20,4,9,11,8,5,1,,,2,"47, 213"
2016-05-03 12:00 AM,68,26,30,4,1,14,5,5,3,,,8,"56, 182, 98, 63, 45, 71, 65, 54"
2016-05-05 12:00 AM,59,25,26,10,4,13,3,4,2,2,,2,"32, 41"
2016-05-07 12:00 AM,53,19,33,11,2,12,3,3,3,1,,1,87
2016-05-09 12:00 AM,61,7,33,11,7,9,3,5,,,,5,"135, 87, 128, 130, 211"
2016-05-11 12:00 AM,175,5,26,9,9,9,5,3,,2,,3,"55, 121, 130"
2016-05-13 12:00 AM,143,16,16,7,12,9,4,2,2,2,,6,"66, 214, 98, 75, 88, 135"
2016-05-15 12:00 AM,90,39,15,3,12,11,4,2,,,,,
2016-05-17 12:00 AM,36,74,16,5,9,12,5,4,,,,5,"33, 51, 64, 47, 112"
2016-05-19 12:00 AM,27,30,46,6,8,11,2,4,4,1,,,
2016-05-21 12:00 AM,16,9,54,3,6,15,3,3,,1,,,
2016-05-23 12:00 AM,167,56,6,3,3,14,4,1,1,2,,,
2016-05-25 12:00 AM,156,8,45,4,6,13,2,,2,1,,,
2016-05-27 12:00 AM,44,53,22,19,4,12,2,3,1,,,,
2016-05-29 12:00 AM,6,52,10,17,15,12,3,3,,,,5,"135, 72, 34, 21, 46"
2016-05-31 12:00 AM,,20,29,11,19,5,1,4,2,1,,2,"42, 84"
2016-06-02 12:00 AM,,20,23,6,11,15,1,4,,,,,
2016-06-04 12:00 AM,,,33,7,6,20,1,3,,,,,
2016-06-06 12:00 AM,,,31,7,4,21,1,2,,1,,2,"49, 74"
2016-06-08 12:00 AM,74,,16,15,5,21,2,2,,,,2,"26, 66"
2016-06-10 12:00 AM,67,1,6,16,12,20,2,2,1,1,,1,83
2016-06-12 12:00 AM,46,12,4,12,17,11,4,7,1,,,3,"55, 21, 36"
2016-06-14 12:00 AM,25,20,8,8,15,11,5,8,1,,,6,"63, 47, 51, 115, 128, 99"
2016-06-16 12:00 AM,23,27,8,6,9,12,8,5,,4,,4,"84, 58, 129, 76"
2016-06-18 12:00 AM,18,14,23,4,6,17,8,4,,1,,3,"75, 36, 43"
2016-06-20 12:00 AM,24,7,27,2,4,17,4,2,5,2,,6,"54, 145, 73, 47, 66, 63"
2016-06-22 12:00 AM,6,11,20,1,4,17,2,,2,2,,,
