Date,1st instar,2nd instar,3rd instar,4th instar ,5th instar,Pupae,Female moth,Male Moth,Dead female,Dead Male,# of Larvae Added,# of Egg Masses,# of Eggs 
2016-05-19 12:00 AM,20,,,,,,,,,,20,,
2016-05-21 12:00 AM,20,,,,,,,,,,20,,
2016-05-23 12:00 AM,21,15,,,,,,,,,20,,
2016-05-25 12:00 AM,15,24,,,,,,,,,20,,
2016-05-27 12:00 AM,7,16,20,,,,,,,,20,,
2016-05-29 12:00 AM,7,20,21,,,,,,,,20,,
2016-05-31 12:00 AM,11,6,24,5,2,,,,,,20,,
2016-06-02 12:00 AM,8,4,13,9,5,,,,,,20,,
2016-06-04 12:00 AM,13,3,11,9,6,3,,,,,20,,
2016-06-06 12:00 AM,10,5,11,8,5,7,,,,,20,,
2016-06-08 12:00 AM,25,7,12,5,6,11,,,,,20,,
2016-06-10 12:00 AM,20,16,12,5,3,16,,,,,20,,
2016-06-12 12:00 AM,5,34,16,3,2,13,1,3,,,20,,
2016-06-14 12:00 AM,5,25,18,4,4,9,3,6,,,20,,
2016-06-16 12:00 AM,17,6,29,4,2,10,3,5,1,1,20,3,"71, 63, 144"
2016-06-18 12:00 AM,15,16,28,7,2,3,2,4,3,3,20,4,"45, 118, 176, 103"
2016-06-20 12:00 AM,13,20,26,6,4,3,,2,2,2,20,1,63
2016-06-22 12:00 AM,24,16,25,6,3,5,1,,,2,20,,
2016-06-24 12:00 AM,8,19,14,8,7,5,1,1,,,20,,
2016-06-26 12:00 AM,2,8,20,4,11,7,,,1,1,20,,
2016-06-28 12:00 AM,12,8,17,6,4,13,1,,,,20,,
2016-06-30 12:00 AM,17,9,21,1,2,18,1,1,1,,20,,
2016-07-02 12:00 AM,15,17,24,8,2,17,1,2,,,20,1,75
2016-07-04 12:00 AM,12,14,14,9,4,14,3,2,1,1,,1,84
2016-07-06 12:00 AM,2,14,10,7,4,5,4,5,1,1,,2,"225, 130"
2016-07-08 12:00 AM,20,9,12,6,3,7,2,5,3,1,,3,"37, 54, 66"
2016-07-10 12:00 AM,41,2,12,6,3,10,2,2,1,3,,3,"97, 144, 86"
2016-07-12 12:00 AM,80,4,8,2,6,11,2,,1,2,,3,"21, 72, 46"
2016-07-14 12:00 AM,154,15,7,4,5,10,3,1,1,,,,
2016-07-16 12:00 AM,103,26,8,7,3,8,4,2,1,,,1,126
2016-07-18 12:00 AM,80,52,14,4,3,7,4,1,3,1,,3,"43, 150, 137"
2016-07-20 12:00 AM,32,39,15,3,4,6,2,,2,1,,3,"163, 79, 88"
2016-07-22 12:00 AM,8,50,21,1,5,7,2,1,1,,,,
2016-07-24 12:00 AM,43,19,40,5,2,5,,,2,2,,2,"40, 78"
2016-07-26 12:00 AM,19,14,31,7,1,8,,,,,,,
2016-07-28 12:00 AM,38,6,25,11,4,7,1,,,,,,
2016-07-30 12:00 AM,7,19,14,13,5,5,3,1,1,,,,
2016-08-01 12:00 AM,,15,4,13,9,9,3,1,,,,1,174
2016-08-03 12:00 AM,,13,5,11,4,11,3,2,,,,1,37
2016-08-05 12:00 AM,,3,7,4,7,15,,,3,2,,,
2016-08-07 12:00 AM,,,8,5,2,13,1,1,,,,,
2016-08-09 12:00 AM,,,1,6,3,10,3,2,,,,2,"108, 164"
2016-08-11 12:00 AM,2,,,3,6,9,1,1,3,2,,,
2016-08-13 12:00 AM,2,,,1,3,7,,4,1,1,,3,"28, 34, 45"
2016-08-15 12:00 AM,1,1,,1,1,8,1,3,,1,,1,47
2016-08-17 12:00 AM,67,1,,1,,5,,4,1,,,,
2016-08-19 12:00 AM,40,20,,1,,5,,1,1,3,,,
2016-08-21 12:00 AM,7,44,,,,2,1,2,,1,,,
2016-08-23 12:00 AM,,7,33,,,,,2,1,1,,,
2016-08-25 12:00 AM,1,3,32,,,,,2,,,,,
2016-08-27 12:00 AM,,,18,11,2,,,1,,1,,,
2016-08-29 12:00 AM,,,10,10,10,3,,1,,,,,
2016-08-31 12:00 AM,,,8,7,9,5,,,,1,,,
2016-09-02 12:00 AM,,,4,6,8,9,,,,,,,
2016-09-04 12:00 AM,,,1,5,4,13,,,,,,,
2016-09-06 12:00 AM,,,1,,3,19,1,,,,,,
2016-09-08 12:00 AM,,,,,3,14,3,2,,,,,
2016-09-10 12:00 AM,,,,,,11,7,1,1,1,,,
2016-09-12 12:00 AM,,,,,,5,7,2,2,1,,,
2016-09-14 12:00 AM,,,,,,4,4,2,4,1,,3,"146, 58, 73"
2016-09-16 12:00 AM,,,,,,1,4,2,3,,,,
2016-09-18 12:00 AM,,,,,,1,2,1,2,1,,2,"44, 95"
2016-09-20 12:00 AM,,,,,,1,,1,2,,,,
2016-09-22 12:00 AM,34,,,,,,,,,1,,,
2016-09-24 12:00 AM,36,2,,,,,,,,,,,
2016-09-26 12:00 AM,61,22,3,,,,,,,,,,
2016-09-28 12:00 AM,23,31,15,,,,,,,,,,
2016-09-30 12:00 AM,8,18,33,,,,,,,,,,
2016-10-02 12:00 AM,,6,30,2,,,,,,,,,
2016-10-04 12:00 AM,,,24,5,2,,,,,,,,
2016-10-06 12:00 AM,,,11,15,2,,,,,,,,
2016-10-08 12:00 AM,,,11,9,6,,,,,,,,
2016-10-10 12:00 AM,,,4,9,9,1,,,,,,,
2016-10-12 12:00 AM,,,1,5,7,7,,,,,,,
2016-10-14 12:00 AM,,,,5,4,11,,,,,,,
2016-10-16 12:00 AM,,,,,4,13,,,,,,,
2016-10-18 12:00 AM,,,,,1,9,3,1,,,,,
2016-10-20 12:00 AM,,,,,,7,4,3,,,,,
2016-10-22 12:00 AM,,,,,,3,6,7,,,,2,"57, 88"
2016-10-24 12:00 AM,,,,,,2,5,3,1,4,,6,"43, 38, 56, 71, 66, 47"
2016-10-26 12:00 AM,,,,,,,3,1,3,3,,3,"48, 53, 86"
2016-10-28 12:00 AM,,,,,,,3,1,,,,,
2016-10-30 12:00 AM,60,,,,,,,,3,1,,1,70
2016-11-01 12:00 AM,59,4,,,,,,,,,,,
2016-11-03 12:00 AM,19,32,2,,,,,,,,,,
2016-11-05 12:00 AM,,9,29,,,,,,,,,,
2016-11-07 12:00 AM,,4,32,2,,,,,,,,,
2016-11-09 12:00 AM,,,2,3,27,,,,,,,,
2016-11-11 12:00 AM,,,10,14,5,,,,,,,,
2016-11-13 12:00 AM,,,6,11,10,1,,,,,,,
2016-11-15 12:00 AM,,,3,7,12,5,,,,,,,
2016-11-17 12:00 AM,,,2,4,4,16,,,,,,,
2016-11-19 12:00 AM,,,,4,,20,,,,,,,
2016-11-21 12:00 AM,,,,1,2,19,,1,,,,,
2016-11-23 12:00 AM,,,,,1,14,3,8,,,,,
2016-11-25 12:00 AM,,,,,,6,4,7,1,4,,4,"48, 50, 85, 96"
2016-11-27 12:00 AM,,,,,,2,2,7,2,2,,6,"145, 109, 128, 221, 159, 236"
2016-11-29 12:00 AM,,,,,,2,2,2,,4,,1,61
2016-12-01 12:00 AM,5,,,,,,1,2,1,2,,,
2016-12-03 12:00 AM,127,,,,,,1,,,2,,,
2016-12-05 12:00 AM,158,15,,,,,,,1,,,,
