Date,1st instar,2nd instar,3rd instar,4th instar ,5th instar,Pupae,Female moth,Male Moth,Dead female,Dead Male,# of Larvae Added,# of Egg Masses,# of Eggs
2016-03-18 12:00 AM,20,,,,,,,,,,20,,
2016-03-20 12:00 AM,40,,,,,,,,,,20,,
2016-03-22 12:00 AM,20,12,,,,,,,,,20,,
2016-03-24 12:00 AM,20,10,8,,,,,,,,20,,
2016-03-26 12:00 AM,67,11,8,6,,,,,,,20,,
2016-03-28 12:00 AM,55,7,15,6,,,,,,,20,,
2016-03-30 12:00 AM,76,11,7,8,5,,,,,,20,,
2016-04-01 12:00 AM,84,14,6,4,8,1,,,,,20,,
2016-04-03 12:00 AM,53,31,12,5,5,6,,,,,20,,
2016-04-05 12:00 AM,63,35,13,2,6,8,,,,,20,,
2016-04-07 12:00 AM,63,22,15,9,2,11,,,,,20,,
2016-04-09 12:00 AM,70,28,19,8,2,11,1,1,,,20,,
2016-04-11 12:00 AM,70,27,28,5,6,8,3,1,,,20,1,233
2016-04-13 12:00 AM,66,34,14,5,4,9,5,2,,,20,2,"156, 68"
2016-04-15 12:00 AM,71,18,26,5,7,8,6,3,1,1,20,4,"28, 41, 103, 115"
2016-04-17 12:00 AM,79,16,25,9,7,8,5,3,1,1,20,1,45
2016-04-19 12:00 AM,90,20,18,10,7,8,3,5,3,,20,1,54
2016-04-21 12:00 AM,88,18,31,5,11,9,3,3,3,2,20,3,"43, 66, 88"
2016-04-23 12:00 AM,94,44,27,5,11,10,3,2,1,2,20,3,"81, 93, 62"
2016-04-25 12:00 AM,90,23,39,4,7,13,2,2,2,1,20,1,57
2016-04-27 12:00 AM,88,14,49,7,9,11,1,2,1,,20,,
2016-04-29 12:00 AM,90,30,42,6,11,10,2,4,,,20,,
2016-05-01 12:00 AM,85,31,37,9,8,9,4,3,,,,1,77
2016-05-03 12:00 AM,78,28,32,18,7,12,6,2,1,2,,4,"58, 83, 62, 77"
2016-05-05 12:00 AM,61,19,32,14,15,14,4,2,2,,,6,"90, 58, 61, 46, 66, 53"
2016-05-07 12:00 AM,55,21,33,15,9,21,4,2,2,,,2,"47, 83"
2016-05-09 12:00 AM,139,13,31,12,6,27,4,2,1,,,,
2016-05-11 12:00 AM,135,12,33,11,7,22,5,6,1,,,4,"152, 71, 45, 57"
2016-05-13 12:00 AM,82,36,27,5,9,22,3,5,3,2,,3,"142, 158, 63"
2016-05-15 12:00 AM,68,18,41,6,11,19,5,6,,,,2,"43, 65"
2016-05-17 12:00 AM,46,33,46,9,7,15,4,8,4,3,,5,"40, 37, 114, 92, 75"
2016-05-19 12:00 AM,20,16,54,8,3,14,4,6,2,3,,3,"56, 74, 215"
2016-05-21 12:00 AM,3,7,49,7,4,15,4,6,,2,,4,"167, 82, 41, 53"
2016-05-23 12:00 AM,7,5,36,14,5,17,2,3,3,4,,9,"85, 97, 26, 71, 88, 63, 74, 29, 75"
2016-05-25 12:00 AM,38,2,23,18,7,16,4,3,,1,,1,47
2016-05-27 12:00 AM,15,14,10,19,15,14,7,2,1,1,,2,"43, 115"
2016-05-29 12:00 AM,5,16,8,11,18,16,6,3,1,1,,,
2016-05-31 12:00 AM,,7,14,2,11,23,4,2,1,4,,2,"47, 203"
2016-06-02 12:00 AM,,,15,4,4,26,2,1,4,2,,2,"63, 75"
2016-06-04 12:00 AM,15,,15,1,3,27,3,3,1,,,4,"37, 96, 51, 73"
2016-06-06 12:00 AM,2,11,6,8,1,10,9,6,2,1,,2,"211, 98"
2016-06-08 12:00 AM,,11,2,6,5,9,5,4,6,3,,7,"64, 129, 68, 51, 137, 88, 109"
2016-06-10 12:00 AM,203,,10,5,3,9,5,,2,3,,4,"97, 68, 88, 111"
2016-06-12 12:00 AM,172,58,13,3,,13,4,,2,,,,
2016-06-14 12:00 AM,122,60,15,4,3,11,4,,1,,,,
2016-06-16 12:00 AM,112,57,22,3,3,9,2,1,3,,,,
2016-06-18 12:00 AM,64,42,46,2,4,6,3,3,,,,,
