Date,1st instar,2nd instar,3rd instar,4th instar,5th instar,Pupae,Female moth,Male Moth,Dead female,Dead Male,# of Larvae Added,# of Egg Masses,# of Eggs
2016-10-20 12:00 AM,,,,,,,,,,,20,,
2016-10-22 12:00 AM,19,1,,,,,,,,,20,,
2016-10-24 12:00 AM,26,13,,,,,,,,,20,,
2016-10-26 12:00 AM,25,11,10,,,,,,,,20,,
2016-10-28 12:00 AM,53,11,13,,,,,,,,20,,
2016-10-30 12:00 AM,51,19,18,2,,,,,,,20,,
2016-11-01 12:00 AM,49,20,26,2,3,,,,,,20,,
2016-11-03 12:00 AM,42,18,27,3,5,1,,,,,20,,
2016-11-05 12:00 AM,36,31,22,6,5,5,,,,,20,,
2016-11-07 12:00 AM,35,15,27,3,10,5,,,,,20,,
2016-11-09 12:00 AM,37,2,26,9,7,5,,,,,20,,
2016-11-11 12:00 AM,25,8,17,7,8,6,1,3,,,20,,
2016-11-13 12:00 AM,16,6,14,8,9,7,2,3,,,20,3,"127, 58, 64"
2016-11-15 12:00 AM,22,12,11,4,9,12,3,3,,,20,,
2016-11-17 12:00 AM,30,10,13,5,5,12,5,2,,2,20,1,144
2016-11-19 12:00 AM,21,5,16,5,3,14,6,3,1,,20,1,80
2016-11-21 12:00 AM,17,9,13,6,4,10,4,3,4,2,20,,
2016-11-23 12:00 AM,13,7,12,3,7,11,7,3,,,20,4,"39, 100, 141, 72"
2016-11-25 12:00 AM,11,2,9,2,8,8,2,4,6,1,20,2,"30, 39"
2016-11-27 12:00 AM,10,3,9,3,4,9,1,2,2,2,20,,
2016-11-29 12:00 AM,10,7,6,5,2,8,2,1,,1,20,2,"66, 81"
2016-12-01 12:00 AM,8,4,8,2,5,8,,1,2,1,20,,
2016-12-03 12:00 AM,11,5,7,1,6,6,,2,,1,,,
2016-12-05 12:00 AM,,6,11,2,1,7,,2,,1,,,
2016-12-07 12:00 AM,,,12,2,3,5,1,1,,1,,,
2016-12-09 12:00 AM,,,8,3,3,4,,1,1,1,,,
2016-12-11 12:00 AM,,,2,4,4,5,1,2,,,,,
2016-12-13 12:00 AM,,,1,2,4,7,1,,,1,,,
