Date,1st instar,2nd instar,3rd instar,4th instar ,5th instar,Pupae,Female moth,Male Moth,Dead female,Dead Male,# of Larvae Added,# of Egg Masses,# of Eggs 
2016-06-14 12:00 AM,,,,,,,,,,,20,,
2016-06-16 12:00 AM,1,28,,,,,,,,,20,,
2016-06-18 12:00 AM,9,2,18,,,,,,,,20,,
2016-06-20 12:00 AM,13,6,17,,,,,,,,20,,
2016-06-22 12:00 AM,8,14,13,7,,,,,,,20,,
2016-06-24 12:00 AM,8,7,16,5,4,,,,,,20,,
2016-06-26 12:00 AM,8,10,14,4,1,8,,,,,20,,
2016-06-28 12:00 AM,4,2,11,6,5,8,,,,,20,,
2016-06-30 12:00 AM,12,5,9,1,7,9,,,,,20,,
2016-07-02 12:00 AM,8,5,11,4,3,12,,2,,,20,,
2016-07-04 12:00 AM,9,8,7,2,5,9,,3,1,1,20,,
2016-07-06 12:00 AM,3,12,6,2,6,6,1,1,,2,20,,
2016-07-08 12:00 AM,5,6,7,3,3,6,2,3,,,20,,
2016-07-10 12:00 AM,2,2,6,6,1,8,1,,1,3,20,,
2016-07-12 12:00 AM,11,3,7,,4,11,1,,1,,20,,
2016-07-14 12:00 AM,20,1,5,1,4,7,1,,1,,20,,
2016-07-16 12:00 AM,12,6,6,,4,7,1,,1,,20,,
2016-07-18 12:00 AM,12,10,10,1,2,,1,2,1,1,20,,
2016-07-20 12:00 AM,8,6,10,1,,2,1,1,1,1,20,,
2016-07-22 12:00 AM,8,10,6,3,1,1,1,1,1,,20,,
2016-07-24 12:00 AM,11,7,10,4,3,1,1,,,1,20,,
2016-07-26 12:00 AM,4,11,9,5,2,3,1,,1,,,,
2016-07-28 12:00 AM,,8,8,4,5,4,1,,,,,,
2016-07-30 12:00 AM,,,7,4,2,5,,1,1,,,,
2016-08-01 12:00 AM,,,5,4,2,7,,,,1,,,
2016-08-03 12:00 AM,,,1,6,3,5,,1,,,,,
2016-08-05 12:00 AM,,,,1,5,4,,2,,,,,
2016-08-07 12:00 AM,,,,,2,7,,2,2,1,,,
2016-08-09 12:00 AM,,,,,,8,,1,,1,,,
2016-08-11 12:00 AM,,,,,,4,2,1,,1,,,
2016-08-13 12:00 AM,,,,,,,3,3,,1,,,
2016-08-15 12:00 AM,,,,,,,,2,3,1,,,
2016-08-17 12:00 AM,,,,,,,,,,2,,,
